Length,Height
1.204,0.74
1.247,0.734
1.291,0.705
1.162,0.672
1.156,0.768
1.225,0.745
1.197,0.733
1.164,0.66
1.236,0.712
1.056,0.665
1.204,0.687
1.115,0.64
1.051,0.685
1.248,0.741
0.966,0.571
0.728,0.4
1.199,0.692
0.804,0.467
0.817,0.532
1.21,0.684
1.226,0.696
1.219,0.711
1.205,0.603
1.062,0.593
0.952,0.517
1.295,0.758
1.143,0.645
1.156,0.71
1.174,0.748
0.752,0.426
1.195,0.667
1.085,0.535
1.066,0.594
1.224,0.714
1.123,0.667
1.182,0.618
1.261,0.76
1.275,0.743
1.113,0.662
1.622,0.999
1.013,0.731
1.183,0.739
0.841,0.509
1.195,0.662
1.128,0.712
0.791,0.569
1.285,0.731
1.11,0.676
1.606,0.999
1.079,0.682
1.268,0.585
1.154,0.53
1.569,0.959
0.773,0.461
1.226,0.658
1.129,0.618
1.188,0.627
2.008,1.121
1.068,0.622
0.872,0.451
0.929,0.553
1.053,0.674
1.063,0.569
1.907,1.198
2.001,1.222
1.184,0.555
0.589,0.4
0.945,0.487
1.094,0.639
0.665,0.428
0.813,0.491
0.877,0.531
1.207,0.637
0.898,0.546
2.009,1.191
0.659,0.463
0.801,0.581
0.65,0.41
1.298,0.721
0.916,0.568
0.751,0.427
1.253,0.714
1.048,0.592
0.882,0.528
1.179,0.703
1.177,0.706
0.703,0.494
1.077,0.774
1.179,0.754
0.834,0.421
1.184,0.704
0.942,0.577
1.228,0.702
0.852,0.421
2.036,1.199
0.964,0.439
1.192,0.736
0.664,0.373
0.89,0.532
0.84,0.543
0.927,0.539
1.028,0.629
0.767,0.48
0.875,0.494
0.895,0.567
1.225,0.67
1.096,0.645
0.695,0.384
2.053,1.183
1.081,0.649
1.189,0.547
1.038,0.541
0.836,0.444
0.717,0.437
1.967,1.216
1.238,0.711
1.134,0.702
1.196,0.665
1.279,0.775
1.166,0.671
0.717,0.408
1.117,0.566
2.132,1.294
1.138,0.633
0.726,0.433
2.081,1.216
0.758,0.422
0.773,0.485
1.289,0.752
0.676,0.457
0.747,0.405
0.754,0.389
0.691,0.439
1.17,0.691
0.907,0.404
1.146,0.654
1.635,0.918
1.28,0.775
0.797,0.437
0.786,0.486
0.714,0.424
0.716,0.434
0.722,0.432
1.565,0.844
2.079,1.232
0.661,0.429
0.716,0.464
1.004,0.549
0.713,0.419
0.75,0.417
1.021,0.568
0.705,0.424
1.667,0.996
1.145,0.741
1.051,0.617
1.238,0.733
1.168,0.701
1.17,0.714
1.177,0.656
0.996,0.592
1.189,0.752
1.163,0.71
1.307,0.802
0.667,0.423
2.032,1.215
1.111,0.639
1.21,0.732
1.131,0.665
0.698,0.394
2.237,1.189
1.174,0.68
1.252,0.732
1.13,0.65
1.104,0.634
1.248,0.69
1.051,0.731
0.983,0.583
1.124,0.676
1.168,0.706
1.077,0.638
1.099,0.7
0.941,0.564
1.181,0.647
0.995,0.601
1.087,0.675
1.077,0.644
1.093,0.631
1.121,0.695
1.168,0.708
1.174,0.619
1.241,0.704
0.966,0.601
1.19,0.697
1.134,0.676
0.702,0.463
1.194,0.74
0.673,0.418
0.794,0.51
0.791,0.42
1.203,0.78
1.171,0.751
0.641,0.429
1.213,0.731
1.235,0.665
1.941,1.129
0.701,0.431
1.241,0.633
1.183,0.641
1.189,0.665
1.156,0.634
1.106,0.681
0.989,0.672
0.905,0.567
0.672,0.441
1.19,0.715
1.095,0.711
